Year,Location,D,G,Gold,Silver,Bronze
2009,Eindhoven 12 - 13 June 2009,B,M,Kilian Fischhuber 4t8 4b7,Gabriele Moroni 2t2 2b2,Stephane Julien 2t2 2b2
2009,Eindhoven 12 - 13 June 2009,B,W,Akiyo Noguchi 3t4 4b6,Natalija Gros 3t5 4b8,Olga Shalagina 2t2 4b6
2010,Greifensee 14–15 May 2010,B,M,Kilian Fischhuber 4t6 4b6,Adam Ondra 4t6 4b6,Christian Core 1t1 2b4
2010,Greifensee 14–15 May 2010,B,W,Alex Johnson 1t1 4b6,Akiyo Noguchi 1t1 4b7,Chloé Graftiaux 1t2 4b5
2010,Wien 28–30 May 2010,B,M,Kilian Fischhuber 2t2 3b3,Adam Ondra 1t1 3b3,Alexey Rubtsov 1t5 3b8
2010,Wien 28–30 May 2010,B,W,Akiyo Noguchi 2t2 3b5,Momoka Oda 2t3 2b3,Jain Kim 2t4 2b2
2010,Vail 4–5 June 2010,B,M,Daniel Woods 2t4 4b11,Tsukuru Hori 1t1 3b5,Kilian Fischhuber 1t1 3b6
2010,Vail 4–5 June 2010,B,W,Chloé Graftiaux 3t3 4b4,Anna Stöhr 3t4 4b5,Juliane Wurm 3t5 4b5
2010,Moscow 17–21 June 2010,B,M,Adam Ondra 2t4 4b5,Tsukuru Hori 1t1 4b4,Kilian Fischhuber 1t2 4b4
2010,Moscow 17–21 June 2010,B,W,Anna Stöhr 2t2 3b3,Chloé Graftiaux 2t2 2b2,Jain Kim 2t4 3b6
2010,Eindhoven 25–26 June 2010,B,M,Dmitrii Sharafutdinov 3t4 4b4,Sean McColl 3t5 4b4,Kilian Fischhuber 3t7 4b4
2010,Eindhoven 25–26 June 2010,B,W,Anna Stöhr 2t2 3b3,Juliane Wurm 2t5 3b8,Melissa Le Neve 2t6 3b7
2010,Sheffield 3–4 July 2010,B,M,Adam Ondra 4t6 4b6,Cédric Lachat 4t12 4b9,Mykhaylo Shalagin 2t2 3b3
2010,Sheffield 3–4 July 2010,B,W,Chloé Graftiaux 4t7 4b7,Alex Johnson 4t8 4b8,Akiyo Noguchi 4t9 4b9
2010,Munich 30–31 July 2010,B,M,Adam Ondra 3t3 4b4,Dmitrii Sharafutdinov 2t3 4b5,Victor Kozlov 2t3 3b4
2010,Munich 30–31 July 2010,B,W,Akiyo Noguchi 1t1 4b8,Anna Stöhr 1t2 4b7,Anna Gallyamova 0t 3b3
2011,Milano 14–17 April 2011,B,M,Kilian Fischhuber 4t9 4b5,Jakob Schubert 3t3 3b3,Rustam Gelmanov 3t6 3b6
2011,Milano 14–17 April 2011,B,W,Jain Kim 3t5 3b4,Anna Stöhr 2t4 4b7,Melissa Le Neve 2t4 4b9
2011,Log-Dragomer 7–8 May 2011,B,M,Guillaume Glairon Mondet 3t3 4b6,Dmitrii Sharafutdinov 3t6 4b9,Kilian Fischhuber 2t3 4b6
2011,Log-Dragomer 7–8 May 2011,B,W,Anna Stöhr 2t3 4b6,Akiyo Noguchi 2t6 3b6,Alex Puccio 1t3 3b6
2011,Vienna 13–14 May 2011,B,M,Dmitrii Sharafutdinov 1t4 4b7,Klemen Becan 1t5 4b12,Lukas Ennemoser 0t 3b9
2011,Vienna 13–14 May 2011,B,W,Anna Stöhr 4t13 4b4,Alex Puccio 2t2 3b3,Olga Shalagina 1t1 3b3
2011,Canmore 27–28 May 2011,B,M,Tsukuru Hori 2t3 4b9,Klemen Becan 2t5 4b9,Sean McColl 1t2 3b5
2011,Canmore 27–28 May 2011,B,W,Akiyo Noguchi 4t9 4b7,Anna Stöhr 4t10 4b6,Jain Kim 3t12 4b14
2011,Vail 3–4 June 2011,B,M,Kilian Fischhuber 4t4 4b4,Dmitrii Sharafutdinov 4t5 4b5,Jonas Baumann 2t4 4b6
2011,Vail 3–4 June 2011,B,W,Anna Stöhr 4t7 4b7,Alex Puccio 3t3 3b3,Melissa Le Neve 3t8 4b9
2011,Eindhoven 17–18 June 2011,B,M,Kilian Fischhuber 4t5 4b4,Daniel Woods 4t6 4b5,Francois Kaiser 3t5 4b4
2011,Eindhoven 17–18 June 2011,B,W,Akiyo Noguchi 4t6 4b5,Anna Stöhr 4t8 4b7,Melissa Le Neve 3t6 4b6
2011,Barcelona 25–26 June 2011,B,M,Guillaume Glairon Mondet 2t2 4b4,Rustam Gelmanov 2t2 3b3,Dmitrii Sharafutdinov 2t5 4b8
2011,Barcelona 25–26 June 2011,B,W,Akiyo Noguchi 4t8 4b4,Alex Puccio 2t4 3b3,Melissa Le Neve 2t4 3b3
2011,Sheffield 2–3 July 2011,B,M,Kilian Fischhuber 2t3 3b4,Cédric Lachat 2t5 4b9,Alexey Rubtsov 2t13 4b13
2011,Sheffield 2–3 July 2011,B,W,Akiyo Noguchi 2t2 4b4,Melissa Le Neve 2t3 3b5,Alex Puccio 2t7 4b11
2011,Munich 19–20 August 2011,B,M,Dmitrii Sharafutdinov 4t4 4b4,Rustam Gelmanov 4t7 4b6,Alexey Rubtsov 2t4 4b6
2011,Munich 19–20 August 2011,B,W,Mina Markovic 3t7 3b7,Juliane Wurm 2t4 3b3,Anna Stöhr 1t1 3b3
2012,Chongqing 13 - 14 April 2012,B,M,Jakob Schubert 2t2 3b6,Guillaume Glairon Mondet 2t5 4b4,Rustam Gelmanov 1t3 4b4
2012,Chongqing 13 - 14 April 2012,B,W,Akiyo Noguchi 2t2 2b2,Anna Stöhr 2t6 3b5,Jain Kim 1t2 3b4
2012,Log-Dragomer 21 - 22 April 2012,B,M,Rustam Gelmanov 3t4 4b5,Kilian Fischhuber 3t6 4b7,Thomas Tauporn 3t9 4b7
